10_Digit_BBL,GeoBuilding,Latitude,Longitude
1008587502,,,
3053240001,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-73.97921260566909,40.6468818509116],[-73.9792034363969,40.64683488544621],[-73.97914656345665,40.6468413273582],[-73.97911513225831,40.64668032256642],[-73.97920541486198,40.64667009733645],[-73.97920808489778,40.64668377218323],[-73.97947464080461,40.64665358157555],[-73.97953230924864,40.6466470504915],[-73.9795344953799,40.646658246118896],[-73.97955606752144,40.64676874890247],[-73.97955524344889,40.64676884150932],[-73.9795371611399,40.64677088967307],[-73.97954625745123,40.64681748318527],[-73.97937029231154,40.64683741263411],[-73.97939814519745,40.646980082168824],[-73.97938141421609,40.6469819765615],[-73.97932683250046,40.64698815872371],[-73.97933996922116,40.64705545138002],[-73.97916396201079,40.64707538590828],[-73.97912804992302,40.64689142791314],[-73.97921260566909,40.6468818509116]]]]},""properties"":{""name"":null,""base_bbl"":""3053240001"",""shape_area"":""0.0"",""heightroof"":""68.0"",""mpluto_bbl"":""3053240001"",""cnstrct_yr"":""1960"",""lststatype"":""Constructed"",""feat_code"":""2100"",""groundelev"":""57"",""geomsource"":""Other (Man"",""bin"":""3397265"",""lstmoddate"":""2017-08-22T00:00:00.000"",""doitt_id"":""169119"",""shape_len"":""0.0""}}",-73.9793355676219,40.6468282513444
1000220013,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-74.01241349572236,40.70560595160188],[-74.01253101759428,40.70535217924168],[-74.01253994024381,40.70535472311543],[-74.01254377556317,40.70535581591847],[-74.0125439920247,40.70535536653964],[-74.01254420730372,40.70535492166351],[-74.0126618697932,40.70511129701016],[-74.0126955004925,40.705092215069115],[-74.01270904830983,40.70509291417206],[-74.012826443016,40.705098967896426],[-74.01284089844162,40.705099712808796],[-74.01324253836252,40.70512042409244],[-74.01324647701492,40.70517706040939],[-74.01325762133766,40.70533731415019],[-74.01325543118622,40.705361913674345],[-74.01324526909886,40.70547605467245],[-74.01324347134434,40.70548049800287],[-74.0131865119749,40.70562130761201],[-74.01316042665839,40.70568579351991],[-74.01312322823497,40.70577774898892],[-74.01312947658302,40.705779890593064],[-74.01309353793967,40.70583385783356],[-74.01307863959252,40.70585623093239],[-74.01305590040852,40.70584767505332],[-74.01293075512046,40.705800586128966],[-74.01280572598279,40.705753540279915],[-74.01268076447568,40.705706520402195],[-74.01255585994798,40.70565952109405],[-74.01243103961778,40.70561255315893],[-74.01241349572236,40.70560595160188]]]]},""properties"":{""name"":null,""base_bbl"":""1000220013"",""shape_area"":""0.0"",""heightroof"":""473.97027824"",""mpluto_bbl"":""1000220013"",""cnstrct_yr"":""1885"",""lststatype"":""Constructed"",""feat_code"":""2100"",""groundelev"":""18"",""geomsource"":""Photogramm"",""bin"":""1000811"",""lstmoddate"":""2020-01-28T00:00:00.000"",""doitt_id"":""119253"",""shape_len"":""0.0""}}",-74.0128355517704,40.7054321106104
1000220024,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-74.01212966623847,40.70622147150156],[-74.01216831854711,40.70613130552157],[-74.01221844527225,40.70601437601205],[-74.01222422627902,40.70601694545778],[-74.0123243969374,40.706061469567146],[-74.01242649197582,40.70610684886717],[-74.01252777177359,40.706151866159566],[-74.01262800319229,40.70619641701273],[-74.01272639569781,40.70624015031735],[-74.01276123464254,40.706255635255786],[-74.01261309021659,40.70644292282632],[-74.01252806883582,40.706403975990284],[-74.01244166057322,40.70636439348019],[-74.01235494708831,40.706324670458045],[-74.01226763725924,40.70628467547951],[-74.01217982102806,40.70624444725566],[-74.01212966623847,40.70622147150156]]]]},""properties"":{""name"":null,""base_bbl"":""1000220024"",""shape_area"":""0.0"",""heightroof"":""453.39"",""mpluto_bbl"":""1000220024"",""cnstrct_yr"":""1927"",""lststatype"":""Constructed"",""feat_code"":""2100"",""groundelev"":""25"",""geomsource"":""Photogramm"",""bin"":""1000813"",""lstmoddate"":""2017-08-22T00:00:00.000"",""doitt_id"":""815255"",""shape_len"":""0.0""}}",-74.0124229248384,40.706228648819
1000230050,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-74.01114502379717,40.706656824200884],[-74.01113627840564,40.70665355529068],[-74.0111321364749,40.706652006811886],[-74.01119210175546,40.70655910514937],[-74.01124862663984,40.70647153211633],[-74.01126431232804,40.70644723028388],[-74.01128995430467,40.70640750441528],[-74.0113172051561,40.7063652857672],[-74.01132072345328,40.706359835526555],[-74.01174576874408,40.706543233403345],[-74.01178351994457,40.70655952249655],[-74.01178212993058,40.70656180003198],[-74.0116775284521,40.70673324553358],[-74.011587531782,40.706880751175305],[-74.01133874227911,40.70679271765279],[-74.0113655288335,40.70675418033132],[-74.01114502379717,40.706656824200884]]]]},""properties"":{""name"":""New York Stock Exchange"",""base_bbl"":""1000230050"",""shape_area"":""0.0"",""heightroof"":""347.0"",""mpluto_bbl"":""1000230050"",""cnstrct_yr"":""1956"",""lststatype"":""Constructed"",""feat_code"":""2100"",""groundelev"":""18"",""geomsource"":""Other (Man"",""bin"":""1000816"",""lstmoddate"":""2017-08-22T00:00:00.000"",""doitt_id"":""416984"",""shape_len"":""0.0""}}",-74.0114495238513,40.7066202938906
1000240029,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-74.01149156132604,40.706074809451124],[-74.01177713250502,40.7061989286883],[-74.01188552772675,40.706246041306926],[-74.01193471775264,40.706267421561215],[-74.01192857611841,40.706279743894825],[-74.01182639304818,40.706484782863015],[-74.01182530003881,40.7064869775214],[-74.01165681389676,40.70641374711437],[-74.01138083124333,40.706293794201024],[-74.01136503855405,40.70628693026274],[-74.01136768608615,40.70628249228133],[-74.01145155754176,40.706141878122565],[-74.011488458362,40.706080011114594],[-74.01149156132604,40.706074809451124]]]]},""properties"":{""name"":null,""base_bbl"":""1000240029"",""shape_area"":""0.0"",""heightroof"":""561.44"",""mpluto_bbl"":""1000240029"",""cnstrct_yr"":""1932"",""lststatype"":""Constructed"",""feat_code"":""2100"",""groundelev"":""16"",""geomsource"":""Photogramm"",""bin"":""1000819"",""lstmoddate"":""2017-08-22T00:00:00.000"",""doitt_id"":""557250"",""shape_len"":""0.0""}}",-74.011648319632,40.7062808946336
1008587503,,,
2023827502,,,
3022977501,,,
1000530038,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-74.0137950758471,40.70838664159393],[-74.01356692756998,40.70832796799127],[-74.01362308938053,40.70820306766846],[-74.01384757224848,40.708260997779504],[-74.01382746351267,40.70830740353529],[-74.01383184807803,40.70831407399498],[-74.01381933055914,40.708343143097],[-74.01381118930506,40.70834457408573],[-74.0137950758471,40.70838664159393]]]]},""properties"":{""name"":null,""base_bbl"":""1000530038"",""shape_area"":""0.0"",""heightroof"":null,""mpluto_bbl"":""1000530038"",""cnstrct_yr"":""2017"",""lststatype"":""Constructed"",""feat_code"":""2100"",""groundelev"":""10"",""geomsource"":""Other (Man"",""bin"":""1090417"",""lstmoddate"":""2018-05-11T00:00:00.000"",""doitt_id"":""1282710"",""shape_len"":""0.0""}}",-74.0137073589902,40.7082948548691
